Chr	Start	Stop	Bin_Count	Genes	InCapture
chr22	41075182	41075731	55	MCHR1	1
chr22	41076953	41078812	186	MCHR1	1
chr22	41165639	41166978	134	SLC25A17	1
chr22	41169941	41170020	8	SLC25A17	1
chr22	41173044	41173133	9	SLC25A17	1
chr22	41173232	41173371	14	SLC25A17	1
chr22	41175013	41175122	11	SLC25A17	1
chr22	41188529	41188678	15	SLC25A17	1
chr22	41190518	41190577	6	SLC25A17	1
chr22	41195027	41195086	6	SLC25A17	1
chr22	41215199	41215388	19	SLC25A17	1
chr22	41220601	41222670	207	ST13	0
chr22	41223100	41223229	13	ST13	1
chr22	41225630	41225669	4	ST13	1
chr22	41226844	41226953	11	ST13	1
chr22	41228573	41228672	10	ST13	1
chr22	41231564	41231673	11	ST13	1
chr22	41231807	41231886	8	ST13	1
chr22	41236630	41236689	6	ST13	0
chr22	41240843	41240912	7	ST13	0
chr22	41244298	41244367	7	ST13	1
chr22	41246827	41246876	5	ST13	1
chr22	41252435	41252684	25	ST13	1
chr22	41253094	41253243	15	XPNPEP3	1
chr22	41255554	41258123	257	DNAJB7	1
chr22	41265003	41265112	11	XPNPEP3	1
chr22	41277774	41278173	40	XPNPEP3	1
chr22	41282317	41282516	20	XPNPEP3	1
chr22	41303591	41303650	6	XPNPEP3	1
chr22	41305126	41305235	11	XPNPEP3	1
chr22	41310243	41310322	8	XPNPEP3	1
chr22	41318337	41318516	18	XPNPEP3	1
chr22	41320366	41320485	12	XPNPEP3	1
chr22	41322273	41323872	160	XPNPEP3	1
chr22	41347351	41347480	13	RBX1	1
chr22	41349559	41349628	7	RBX1	1
chr22	41360051	41360120	7	RBX1	1
chr22	41363803	41363882	8	RBX1	1
chr22	41368480	41369019	54	RBX1	1
chr22	41488517	41488566	5	MIR1281	1
chr22	41488614	41489093	48	EP300	1
chr22	41513191	41513820	63	EP300	1
chr22	41521868	41522037	17	EP300	1
chr22	41523491	41523750	26	EP300	1
chr22	41525894	41526003	11	EP300	1
chr22	41527392	41527631	24	EP300	1
chr22	41531817	41531906	9	EP300	1
chr22	41533657	41533786	13	EP300	1
chr22	41536144	41536253	11	EP300	1
chr22	41537052	41537221	17	EP300	1
chr22	41542743	41542812	7	EP300	1
chr22	41543841	41543950	11	EP300	1
chr22	41545042	41545171	13	EP300	1
chr22	41545765	41546194	43	EP300	1
chr22	41547837	41548016	18	EP300	1
chr22	41548210	41548349	14	EP300	1
chr22	41550999	41551108	11	EP300	1
chr22	41553173	41553412	24	EP300	1
chr22	41554416	41554495	8	EP300	1
chr22	41556646	41556725	8	EP300	1
chr22	41558727	41558776	5	EP300	1
chr22	41560057	41560126	7	EP300	1
chr22	41562603	41562662	6	EP300	1
chr22	41564453	41564602	15	EP300	1
chr22	41564725	41564864	14	EP300	1
chr22	41565507	41565616	11	EP300	1
chr22	41566410	41566569	16	EP300	1
chr22	41568503	41568662	16	EP300	1
chr22	41569627	41569786	16	EP300	1
chr22	41572251	41572530	28	EP300	1
chr22	41572777	41576076	330	EP300	1
chr22	41601313	41601382	7	L3MBTL2	1
chr22	41605700	41605929	23	L3MBTL2	1
chr22	41609897	41610026	13	L3MBTL2	1
chr22	41612143	41612262	12	L3MBTL2	1
chr22	41613127	41613206	8	L3MBTL2	1
chr22	41615423	41615532	11	L3MBTL2	1
chr22	41616738	41616867	13	L3MBTL2	1
chr22	41617203	41617282	8	L3MBTL2	1
chr22	41620024	41620253	23	L3MBTL2	1
chr22	41620729	41620798	7	L3MBTL2	1
chr22	41620971	41621070	10	L3MBTL2	1
chr22	41621798	41621937	14	L3MBTL2	1
chr22	41622666	41622745	8	L3MBTL2	1
chr22	41623093	41623322	23	L3MBTL2	1
chr22	41623808	41623867	6	L3MBTL2	1
chr22	41625514	41625733	22	CHADL:L3MBTL2	1
chr22	41626143	41627272	113	L3MBTL2	1
chr22	41631149	41631338	19	CHADL	1
chr22	41632488	41632647	16	CHADL	1
chr22	41633180	41634889	171	CHADL	1
chr22	41635447	41635616	17	CHADL	1
chr22	41636878	41636927	5	CHADL	1
chr22	41641615	41642674	106	RANGAP1	1
chr22	41645334	41645453	12	RANGAP1	1
chr22	41645733	41645812	8	RANGAP1	1
chr22	41647011	41647110	10	RANGAP1	1
chr22	41648876	41648995	12	RANGAP1	1
chr22	41650312	41650491	18	RANGAP1	1
chr22	41652025	41652104	8	RANGAP1	1
chr22	41652195	41652294	10	RANGAP1	1
chr22	41652715	41652824	11	RANGAP1	1
chr22	41653952	41654101	15	RANGAP1	1
chr22	41657450	41657579	13	RANGAP1	1
chr22	41660668	41660847	18	RANGAP1	1
chr22	41664101	41664160	6	RANGAP1	1
chr22	41670604	41670723	12	RANGAP1	1
chr22	41676937	41677086	15	RANGAP1	1
chr22	41681990	41682209	22	RANGAP1	0
chr22	41697567	41697776	21	ZC3H7B	0
chr22	41716659	41716708	5	ZC3H7B	1
chr22	41721568	41721597	3	ZC3H7B	1
chr22	41721725	41721914	19	ZC3H7B	1
chr22	41723210	41723359	15	ZC3H7B	1
chr22	41726027	41726106	8	ZC3H7B	1
chr22	41728175	41728224	5	ZC3H7B	1
chr22	41734317	41734356	4	ZC3H7B	1
chr22	41735005	41735194	19	ZC3H7B	1
chr22	41735820	41736139	32	ZC3H7B	1
chr22	41737092	41737141	5	ZC3H7B	1
chr22	41738533	41738632	10	ZC3H7B	1
chr22	41739419	41739578	16	ZC3H7B	1
chr22	41742007	41742206	20	ZC3H7B	1
chr22	41744071	41744170	10	ZC3H7B	1
chr22	41745124	41745303	18	ZC3H7B	1
chr22	41747565	41747644	8	ZC3H7B	1
chr22	41751473	41751602	13	ZC3H7B	1
chr22	41751761	41751860	10	ZC3H7B	1
chr22	41751958	41752057	10	ZC3H7B	1
chr22	41752347	41752476	13	ZC3H7B	1
chr22	41752649	41752808	16	ZC3H7B	1
chr22	41753181	41756150	297	ZC3H7B	1
chr22	41763392	41763601	21	TEF	1
chr22	41777963	41778202	24	TEF	1
chr22	41783355	41783664	31	TEF	1
chr22	41790100	41790319	22	TEF	1
chr22	41791749	41795328	358	TEF	1
chr22	41829492	41833411	392	TOB2	1
chr22	41842383	41843022	64	TOB2	0
chr22	41855721	41856490	77	PHF5A	1
chr22	41863452	41863611	16	PHF5A	1
chr22	41864128	41864147	2	PHF5A	1
chr22	41864606	41864705	10	PHF5A	1
chr22	41865129	41865178	5	ACO2	1
chr22	41895730	41895859	13	ACO2	1
chr22	41903795	41904044	25	ACO2	1
chr22	41907880	41907969	9	ACO2	1
chr22	41911381	41911530	15	ACO2	1
chr22	41911771	41911920	15	ACO2	1
chr22	41913531	41913630	10	ACO2	1
chr22	41914485	41914574	9	ACO2	0
chr22	41916175	41916274	10	ACO2	1
chr22	41918834	41918983	15	ACO2	1
chr22	41919209	41919278	7	ACO2	1
chr22	41919834	41919943	11	ACO2	1
chr22	41920850	41920969	12	ACO2	1
chr22	41921197	41921346	15	ACO2	1
chr22	41921803	41925332	353	ACO2:POLR3H	1
chr22	41926691	41926890	20	POLR3H	1
chr22	41928098	41928157	6	POLR3H	1
chr22	41928663	41928742	8	POLR3H	1
chr22	41936703	41936792	9	POLR3H	1
chr22	41939995	41940474	48	POLR3H	1
chr22	41957014	41957183	17	CSDC2	0
chr22	41967847	41968136	29	CSDC2	1
chr22	41969659	41969778	12	CSDC2	1
chr22	41970737	41972666	193	CSDC2	1
chr22	41972890	41973439	55	PMM1	1
chr22	41973812	41973921	11	PMM1	1
chr22	41974810	41974879	7	PMM1	1
chr22	41979963	41980062	10	PMM1	1
chr22	41980285	41980374	9	PMM1	1
chr22	41980531	41980600	7	PMM1	1
chr22	41982080	41982189	11	PMM1	1
chr22	41985723	41985862	14	PMM1	1
chr22	41994032	41997191	316	PPPDE2	1
chr22	41999263	41999382	12	PPPDE2	1
chr22	42000048	42000157	11	PPPDE2	1
chr22	42003266	42003335	7	PPPDE2	1
chr22	42003844	42003863	2	PPPDE2	1
chr22	42016756	42017055	30	PPPDE2	1
chr22	42017295	42017344	5	XRCC6	1
chr22	42017994	42018083	9	XRCC6	1
chr22	42024122	42024231	11	XRCC6	1
chr22	42032117	42032246	13	XRCC6	1
chr22	42032520	42032769	25	XRCC6	1
chr22	42033612	42033791	18	XRCC6	1
chr22	42042900	42043079	18	XRCC6	1
chr22	42046727	42046886	16	XRCC6	1
chr22	42049533	42049692	16	XRCC6	1
chr22	42052907	42053036	13	XRCC6	1
chr22	42054256	42054355	10	XRCC6	1
chr22	42057335	42057444	11	XRCC6	1
chr22	42059626	42060045	42	XRCC6	1
chr22	42069937	42071196	126	NHP2L1	1
chr22	42076248	42076367	12	NHP2L1	1
chr22	42078360	42078549	19	NHP2L1	1
chr22	42084798	42084907	11	NHP2L1	1
chr22	42086547	42086846	30	C22orf46	1
chr22	42089467	42094136	467	C22orf46	1
chr22	42095518	42095707	19	MEI1	1
chr22	42099335	42099454	12	MEI1	1
chr22	42101508	42101557	5	MEI1	1
chr22	42110006	42110075	7	MEI1	1
chr22	42112045	42112144	10	MEI1	1
chr22	42114075	42114274	20	MEI1	1
chr22	42119947	42120076	13	MEI1	1
chr22	42125669	42125778	11	MEI1	1
chr22	42126525	42126634	11	MEI1	1
chr22	42128249	42128348	10	MEI1	1
chr22	42128473	42128602	13	MEI1	1
chr22	42139084	42139193	11	MEI1	1
chr22	42140977	42141066	9	MEI1	1
chr22	42141889	42142028	14	MEI1	1
chr22	42144111	42144220	11	MEI1	1
chr22	42148595	42148654	6	MEI1	1
chr22	42149953	42150042	9	MEI1	1
chr22	42154369	42154528	16	MEI1	1
chr22	42159178	42159317	14	MEI1	1
chr22	42166690	42166959	27	MEI1	1
chr22	42172106	42172265	16	MEI1	1
chr22	42174712	42174811	10	MEI1	1
chr22	42177288	42177397	11	MEI1	1
chr22	42177689	42177848	16	MEI1	1
chr22	42180343	42180422	8	MEI1	1
chr22	42180612	42180781	17	MEI1	1
chr22	42189833	42189912	8	MEI1	1
chr22	42190375	42190474	10	MEI1	1
chr22	42191415	42191544	13	MEI1	1
chr22	42191739	42191848	11	MEI1	1
chr22	42195258	42195457	20	MEI1	1
chr22	42196678	42196767	9	CCDC134	0
chr22	42204879	42204988	11	CCDC134	1
chr22	42205883	42206002	12	CCDC134	1
chr22	42206211	42206290	8	CCDC134	1
chr22	42209268	42209447	18	CCDC134	1
chr22	42209755	42209824	7	CCDC134	1
chr22	42221702	42222301	60	CCDC134	1
chr22	42229106	42229355	25	SREBF2	1
chr22	42262835	42263284	45	SREBF2	1
chr22	42264615	42264794	18	SREBF2	1
chr22	42266893	42267032	14	SREBF2	1
chr22	42269802	42270021	22	SREBF2	1
chr22	42271341	42271450	11	SREBF2	1
chr22	42271547	42271726	18	SREBF2	1
chr22	42273233	42273422	19	SREBF2	1
chr22	42273946	42274125	18	SREBF2	1
chr22	42276720	42276989	27	SREBF2	1
chr22	42280846	42281015	17	SREBF2	1
chr22	42289121	42289280	16	SREBF2	1
chr22	42290824	42290933	11	SREBF2	1
chr22	42293056	42293165	11	SREBF2	1
chr22	42294653	42294782	13	SREBF2	1
chr22	42296334	42296493	16	SREBF2	1
chr22	42296948	42297007	6	MIR33A	1
chr22	42298974	42299153	18	SREBF2	1
chr22	42300867	42300976	11	SREBF2	1
chr22	42301444	42302373	93	SREBF2	1
chr22	42321036	42321555	52	TNFRSF13C	1
chr22	42322105	42322334	23	TNFRSF13C	1
chr22	42322642	42322821	18	TNFRSF13C	1
chr22	42334741	42335200	46	CENPM	1
chr22	42336143	42336222	8	CENPM	1
chr22	42339614	42339703	9	CENPM	1
chr22	42341229	42341308	8	CENPM	1
chr22	42341917	42342006	9	CENPM	1
chr22	42342421	42342500	8	CENPM	1
chr22	42343024	42343143	12	CENPM	1
chr22	42348191	42348420	23	LOC339674	0
chr22	42353676	42354945	127	LOC339674	1
chr22	42372931	42373070	14	SEPT3	1
chr22	42377649	42377838	19	SEPT3	1
chr22	42381988	42382107	12	SEPT3	1
chr22	42383210	42383289	8	SEPT3	1
chr22	42383626	42383755	13	SEPT3	1
chr22	42385571	42385680	11	SEPT3	1
chr22	42387577	42387666	9	SEPT3	1
chr22	42388668	42388767	10	SEPT3	1
chr22	42390294	42390343	5	SEPT3	1
chr22	42390625	42394224	360	SEPT3	1
chr22	42394729	42394878	15	WBP2NL	1
chr22	42415315	42415414	10	WBP2NL	1
chr22	42415666	42415805	14	WBP2NL	1
chr22	42416008	42416097	9	WBP2NL	1
chr22	42418253	42418352	10	WBP2NL	1
chr22	42422770	42424469	170	WBP2NL	1
chr22	42454338	42456417	208	NAGA	1
chr22	42456928	42457067	14	NAGA	1
chr22	42458831	42459020	19	NAGA	1
chr22	42461742	42461901	16	NAGA	1
chr22	42462714	42462803	9	NAGA	1
chr22	42463117	42463286	17	NAGA	1
chr22	42463769	42463938	17	NAGA	1
chr22	42464443	42464572	13	NAGA	1
chr22	42466286	42466845	56	NAGA	1
chr22	42470255	42470344	9	FAM109B	0
chr22	42471575	42471654	8	FAM109B	0
chr22	42473284	42475433	215	FAM109B	1
chr22	42475699	42475958	26	C22orf32	1
chr22	42477929	42478068	14	C22orf32	1
